Vorm,Conjugatie,Modus,Tempus,Genus,Persoon,Getal,Stam
atis,4,coniunctivus,praesens,activum,tweede,pluralis,praesens
ant,4,coniunctivus,praesens,activum,derde,pluralis,praesens
rem,4,coniunctivus,imperfectum,activum,eerste,singularis,praesens
res,4,coniunctivus,imperfectum,activum,tweede,singularis,praesens
ret,4,coniunctivus,imperfectum,activum,derde,singularis,praesens
remus,4,coniunctivus,imperfectum,activum,eerste,pluralis,praesens
retis,4,coniunctivus,imperfectum,activum,tweede,pluralis,praesens
rent,4,coniunctivus,imperfectum,activum,derde,pluralis,praesens
erim,4,coniunctivus,perfectum,activum,eerste,singularis,perfectum
eris,4,coniunctivus,perfectum,activum,tweede,singularis,perfectum
erit,4,coniunctivus,perfectum,activum,derde,singularis,perfectum
erimus,4,coniunctivus,perfectum,activum,eerste,pluralis,perfectum
eritis,4,coniunctivus,perfectum,activum,tweede,pluralis,perfectum
erint,4,coniunctivus,perfectum,activum,derde,pluralis,perfectum
issem,4,coniunctivus,plusquamperfectum,activum,eerste,singularis,perfectum
isses,4,coniunctivus,plusquamperfectum,activum,tweede,singularis,perfectum
isset,4,coniunctivus,plusquamperfectum,activum,derde,singularis,perfectum
issemus,4,coniunctivus,plusquamperfectum,activum,eerste,pluralis,perfectum
issetis,4,coniunctivus,plusquamperfectum,activum,tweede,pluralis,perfectum
issent,4,coniunctivus,plusquamperfectum,activum,derde,pluralis,perfectum
ar,4,coniunctivus,praesens,passivum,eerste,singularis,praesens
aris,4,coniunctivus,praesens,passivum,tweede,singularis,praesens
atur,4,coniunctivus,praesens,passivum,derde,singularis,praesens
amus,4,coniunctivus,praesens,passivum,eerste,pluralis,praesens
amini,4,coniunctivus,praesens,passivum,tweede,pluralis,praesens
antur,4,coniunctivus,praesens,passivum,derde,pluralis,praesens
rer,4,coniunctivus,imperfectum,passivum,eerste,singularis,praesens
reris,4,coniunctivus,imperfectum,passivum,tweede,singularis,praesens
retur,4,coniunctivus,imperfectum,passivum,derde,singularis,praesens
remur,4,coniunctivus,imperfectum,passivum,eerste,pluralis,praesens
remini,4,coniunctivus,imperfectum,passivum,tweede,pluralis,praesens
rentur,4,coniunctivus,imperfectum,passivum,derde,pluralis,praesens
us sim,4,coniunctivus,perfectum,passivum,eerste,singularis,supinum
us sis,4,coniunctivus,perfectum,passivum,tweede,singularis,supinum
us sit,4,coniunctivus,perfectum,passivum,derde,singularis,supinum
i simus,4,coniunctivus,perfectum,passivum,eerste,pluralis,supinum
i sitis,4,coniunctivus,perfectum,passivum,tweede,pluralis,supinum
i sint,4,coniunctivus,perfectum,passivum,derde,pluralis,supinum
us essem,4,coniunctivus,plusquamperfectum,passivum,eerste,singularis,supinum
us esses,4,coniunctivus,plusquamperfectum,passivum,tweede,singularis,supinum
us esset,4,coniunctivus,plusquamperfectum,passivum,derde,singularis,supinum
i essemus,4,coniunctivus,plusquamperfectum,passivum,eerste,pluralis,supinum
i essetis,4,coniunctivus,plusquamperfectum,passivum,tweede,pluralis,supinum
i essent,4,coniunctivus,plusquamperfectum,passivum,derde,pluralis,supinum
,4,imperativus,praesens,activum,tweede,singularis,praesens
te,4,imperativus,praesens,activum,tweede,pluralis,praesens
ens,4,participium,praesens,activum,,singularis,infinitivus
us,4,participium,perfectum,passivum,,singularis,supinum
urus,4,participium,futurum,activum,,singularis,supinum
re,4,infinitivus,praesens,activum,,,infinitivus
isse,4,infinitivus,perfectum,activum,,,perfectum
urus esse,4,infinitivus,futurum,activum,,,supinum
ri,4,infinitivus,praesens,passivum,,,infinitivus
us esse,4,infinitivus,perfectum,passivum,,,supinum
um iri,4,infinitivus,futurum,passivum,,,supinum
