Vorm,Conjugatie,Modus,Tempus,Genus,Persoon,Getal,Stam
us est,3,indicativus,perfectum,passivum,derde,singularis,supinum
i sumus,3,indicativus,perfectum,passivum,eerste,pluralis,supinum
i estis,3,indicativus,perfectum,passivum,tweede,pluralis,supinum
i sunt,3,indicativus,perfectum,passivum,derde,pluralis,supinum
us eram,3,indicativus,plusquamperfectum,passivum,eerste,singularis,supinum
us eras,3,indicativus,plusquamperfectum,passivum,tweede,singularis,supinum
us erat,3,indicativus,plusquamperfectum,passivum,derde,singularis,supinum
i eramus,3,indicativus,plusquamperfectum,passivum,eerste,pluralis,supinum
i eratis,3,indicativus,plusquamperfectum,passivum,tweede,pluralis,supinum
i erant,3,indicativus,plusquamperfectum,passivum,derde,pluralis,supinum
us ero,3,indicativus,futurum exactum,passivum,eerste,singularis,supinum
us eris,3,indicativus,futurum exactum,passivum,tweede,singularis,supinum
us erit,3,indicativus,futurum exactum,passivum,derde,singularis,supinum
i erimus,3,indicativus,futurum exactum,passivum,eerste,pluralis,supinum
i eritis,3,indicativus,futurum exactum,passivum,tweede,pluralis,supinum
i erunt,3,indicativus,futurum exactum,passivum,derde,pluralis,supinum
am,3,coniunctivus,praesens,activum,eerste,singularis,praesens
as,3,coniunctivus,praesens,activum,tweede,singularis,praesens
at,3,coniunctivus,praesens,activum,derde,singularis,praesens
amus,3,coniunctivus,praesens,activum,eerste,pluralis,praesens
atis,3,coniunctivus,praesens,activum,tweede,pluralis,praesens
ant,3,coniunctivus,praesens,activum,derde,pluralis,praesens
erem,3,coniunctivus,imperfectum,activum,eerste,singularis,praesens
eres,3,coniunctivus,imperfectum,activum,tweede,singularis,praesens
eret,3,coniunctivus,imperfectum,activum,derde,singularis,praesens
eremus,3,coniunctivus,imperfectum,activum,eerste,pluralis,praesens
eretis,3,coniunctivus,imperfectum,activum,tweede,pluralis,praesens
erent,3,coniunctivus,imperfectum,activum,derde,pluralis,praesens
erim,3,coniunctivus,perfectum,activum,eerste,singularis,perfectum
eris,3,coniunctivus,perfectum,activum,tweede,singularis,perfectum
erit,3,coniunctivus,perfectum,activum,derde,singularis,perfectum
erimus,3,coniunctivus,perfectum,activum,eerste,pluralis,perfectum
eritis,3,coniunctivus,perfectum,activum,tweede,pluralis,perfectum
erint,3,coniunctivus,perfectum,activum,derde,pluralis,perfectum
issem,3,coniunctivus,plusquamperfectum,activum,eerste,singularis,perfectum
isses,3,coniunctivus,plusquamperfectum,activum,tweede,singularis,perfectum
isset,3,coniunctivus,plusquamperfectum,activum,derde,singularis,perfectum
issemus,3,coniunctivus,plusquamperfectum,activum,eerste,pluralis,perfectum
issetis,3,coniunctivus,plusquamperfectum,activum,tweede,pluralis,perfectum
issent,3,coniunctivus,plusquamperfectum,activum,derde,pluralis,perfectum
ar,3,coniunctivus,praesens,passivum,eerste,singularis,praesens
aris,3,coniunctivus,praesens,passivum,tweede,singularis,praesens
atur,3,coniunctivus,praesens,passivum,derde,singularis,praesens
amur,3,coniunctivus,praesens,passivum,eerste,pluralis,praesens
amini,3,coniunctivus,praesens,passivum,tweede,pluralis,praesens
antur,3,coniunctivus,praesens,passivum,derde,pluralis,praesens
erer,3,coniunctivus,imperfectum,passivum,eerste,singularis,praesens
ereris,3,coniunctivus,imperfectum,passivum,tweede,singularis,praesens
eretur,3,coniunctivus,imperfectum,passivum,derde,singularis,praesens
eremus,3,coniunctivus,imperfectum,passivum,eerste,pluralis,praesens
eremini,3,coniunctivus,imperfectum,passivum,tweede,pluralis,praesens
erentur,3,coniunctivus,imperfectum,passivum,derde,pluralis,praesens
us sim,3,coniunctivus,perfectum,passivum,eerste,singularis,supinum
us sis,3,coniunctivus,perfectum,passivum,tweede,singularis,supinum
us sit,3,coniunctivus,perfectum,passivum,derde,singularis,supinum
i simus,3,coniunctivus,perfectum,passivum,eerste,pluralis,supinum
i sitis,3,coniunctivus,perfectum,passivum,tweede,pluralis,supinum
i sint,3,coniunctivus,perfectum,passivum,derde,pluralis,supinum
us essem,3,coniunctivus,plusquamperfectum,passivum,eerste,singularis,supinum
us esses,3,coniunctivus,plusquamperfectum,passivum,tweede,singularis,supinum
us esset,3,coniunctivus,plusquamperfectum,passivum,derde,singularis,supinum
i essemus,3,coniunctivus,plusquamperfectum,passivum,eerste,pluralis,supinum
i essetis,3,coniunctivus,plusquamperfectum,passivum,tweede,pluralis,supinum
i essent,3,coniunctivus,plusquamperfectum,passivum,derde,pluralis,supinum
e,3,imperativus,praesens,activum,tweede,singularis,praesens
ite,3,imperativus,praesens,activum,tweede,pluralis,praesens
ns,3,participium,praesens,activum,,singularis,infinitivus
us,3,participium,perfectum,passivum,,singularis,supinum
urus,3,participium,futurum,activum,,singularis,supinum
re,3,infinitivus,praesens,activum,,,infinitivus
isse,3,infinitivus,perfectum,activum,,,perfectum
urus esse,3,infinitivus,futurum,activum,,,supinum
i,3,infinitivus,praesens,passivum,,,praesens
us esse,3,infinitivus,perfectum,passivum,,,supinum
um iri,3,infinitivus,futurum,passivum,,,supinum
